# a_i,R_G
1.0700,3.2631038027e-05
1.0750,2.8263103803e-05
1.0800,3.2887975334e-05
1.0850,3.3016443988e-05
1.0900,2.8520041110e-05
1.0950,2.9162384378e-05
1.1000,2.2867420349e-05
1.1050,2.4537512847e-05
1.1100,2.0169578623e-05
1.1150,2.1068859198e-05
1.1200,2.3766700925e-05
1.1250,2.4280575540e-05
1.1300,2.0169578623e-05
1.1350,2.3381294964e-05
1.1400,2.0426515930e-05
1.1450,1.8756423433e-05
1.1500,1.9013360740e-05
1.1550,1.6443987667e-05
1.1600,1.7600205550e-05
1.1650,1.4388489209e-05
1.1700,1.7728674203e-05
1.1750,1.6187050360e-05
1.1800,1.6829393628e-05
1.1850,1.7343268243e-05
1.1900,1.7343268243e-05
1.1950,1.5416238438e-05
1.2000,1.4645426516e-05
1.2050,1.2975334018e-05
1.2100,1.3232271326e-05
1.2150,1.2076053443e-05
1.2200,1.3489208633e-05
1.2250,1.2589928058e-05
1.2300,1.1947584789e-05
1.2350,1.2461459404e-05
1.2400,1.4645426516e-05
1.2450,1.2846865365e-05
1.2500,1.1819116136e-05
1.2550,1.1690647482e-05
1.2600,9.3782117163e-06
1.2650,1.0662898253e-05
1.2700,8.3504624872e-06
1.2750,8.3504624872e-06
1.2800,9.2497430627e-06
1.2850,1.0405960946e-05
1.2900,8.3504624872e-06
1.2950,9.1212744090e-06
1.3000,8.7358684481e-06
1.3050,1.0662898253e-05
1.3100,9.1212744090e-06
1.3150,9.1212744090e-06
1.3200,9.1212744090e-06
1.3250,5.1387461459e-06
1.3300,6.8088386434e-06
1.3350,4.7533401850e-06
1.3400,8.7358684481e-06
1.3450,6.8088386434e-06
1.3500,5.7810894142e-06
1.3550,7.5796505653e-06
1.3600,7.7081192189e-06
1.3650,6.4234326824e-06
1.3700,4.8818088386e-06
1.3750,6.9373072970e-06
1.3800,4.8818088386e-06
1.3850,5.5241521069e-06
1.3900,5.9095580678e-06
1.3950,3.0832476876e-06
